1.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
10.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
100.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
Caso 10.000 elementos
 - Desordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
15459486;4397505;3556521;964143;49461058;27410749;4306946;
3484075;4433124;3372386;1009421;52834652;20935236;3924791;
3927206;4276157;3403175;1127751;58445636;27104662;4314191;
3689944;4164468;3358500;950257;53056821;28356177;3926602;
4451235;4178957;3356086;952068;48526498;26420043;3987578;
2170377;4394486;3458718;1058927;48918313;20817510;3916942;
2250068;4188013;3376008;1176652;48609811;19171767;4053383;
2742101;4193446;3421287;1136806;48293461;19353487;4235104;
1945794;4174128;3359708;1342675;48343570;14984357;3919961;
1852216;4288231;3387479;950861;48483634;20309178;3925395;
1847991;4170505;3359707;965954;48463108;21995975;3917547;
2027296;4157827;3354878;1260569;48109930;18159930;4009915;
1885421;4265289;3491319;1034174;48128646;14979528;3929017;
2005562;4274345;3382046;938786;48471559;14855161;3908491;
1884818;4170505;3543239;965350;48393679;15254221;3916942;
2995060;4169902;3349445;1761054;48504764;14551489;4122811;
2027899;4357055;3347633;995536;48417828;7457163;3924187;
2437222;4352225;3498563;952671;48289235;2269388;3910906;
2014013;4183183;3438191;946635;49167650;2125702;3907887;
1884214;4169901;3408609;946031;50787433;2142606;4440972;
2469219;4242348;3365141;952672;48149776;2266973;3954977;
2314063;4168694;3395932;1041419;48409979;2158907;4029839;
3822762;4171109;3612667;1180275;62509282;2288706;3924188;
3353067;4250800;3445436;946635;82011888;2125098;4121604;
3539617;4244763;3345822;947239;67868514;2123287;3927205;
4191032;4181373;3356689;1153107;66065200;2125099;3926602;
4156016;4168694;3374801;4899197;76757100;2125702;3910906;
3351859;4284609;3423099;681601;79098934;2130531;4230878;
3384460;4301513;3378423;705750;52839481;2187281;3942299;
3555314;4323850;3347633;705750;48382209;2303196;3910302;
3241378;4171713;3359104;691261;48444392;2131740;3935658;
4510400;4308757;3398346;707562;48763157;2123287;4345584;
3413439;4361281;3437588;709372;48466126;2123287;3932639;
3802236;4183787;3354274;703939;48547628;2227731;3929017;
3747901;4296079;3347029;711183;48488464;2125702;3920565;
1816597;4174732;3351255;712995;48259050;2125098;4066061;
1622199;4247781;3374197;749218;48223430;2563400;3920565;
1540696;4176543;3432758;730502;48565740;2154077;3926602;
1532848;4278572;3349444;708165;48754101;2132343;3916943;
1547337;4205521;3346426;681602;49000419;2123288;4006897;
1980809;4253215;3330729;780611;48479408;2125099;3938073;
1751394;4175939;3501582;716617;48490274;2120872;3913320;
1585975;4262271;3347634;678583;48896579;2128720;3971277;
1841953;4197069;3340388;706957;48361682;2411262;3913320;
1571486;4351621;3353067;708165;48421450;2186678;3991804;
2170981;4351621;3340389;704543;48292255;2139587;3914527;
1591408;4172921;3559539;717825;48928576;2138984;4067873;
1586579;4194655;3380838;712390;48900202;2134758;3912716;
1864291;4250196;3368764;696090;51331990;2129324;4268912;
